artist,artist_id,name,song_id,emo,duration,popularity,url
ABBA,0LcJLqbBmaGUft1e9Mm8HV,Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,surprise,00:03:50,83,https://open.spotify.com/track/0GjEhVFGZW8afUYGChu3Rr
Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody - Remastered 2011,1AhDOtG9vPSOmsWgNW0BEY,surprise,00:05:54,0,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY
Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,surprise,00:04:18,83,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
Hot Chocolate,72VzFto8DYvKHocaHYNWSi,You Sexy Thing,714hERk9U1W8FMYkoC83CO,surprise,00:04:04,73,https://open.spotify.com/track/714hERk9U1W8FMYkoC83CO
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,surprise,00:03:27,23,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes,1rqqCSm0Qe4I9rUvWncaom,surprise,00:03:10,82,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Valerie (feat. Amy Winehouse) - Version Revisited,4BfRDZLIiznSnwU7DdDL9N,surprise,00:03:39,1,https://open.spotify.com/track/4BfRDZLIiznSnwU7DdDL9N
Céline Dion,4S9EykWXhStSc15wEx8QFK,"My Heart Will Go On - Love Theme from ""Titanic""",3oEHQmhvFLiE7ZYES0ulzv,surprise,00:04:40,0,https://open.spotify.com/track/3oEHQmhvFLiE7ZYES0ulzv
Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Strangers Like Me,3E99KpWAcYEnj64e86y6u9,surprise,00:03:00,0,https://open.spotify.com/track/3E99KpWAcYEnj64e86y6u9
High School Musical Cast,2gUMs9PE8XZVQyzCDqaYmW,Just Wanna Be With You,0tPIrbTWGm3vZiBmJSlzID,surprise,00:02:38,28,https://open.spotify.com/track/0tPIrbTWGm3vZiBmJSlzID
De Jeugd Van Tegenwoordig,1u7uShzlA1tXJeox3jMFPq,Sterrenstof,7D5vAulNfrQV6xEwzgH0OF,surprise,00:03:40,63,https://open.spotify.com/track/7D5vAulNfrQV6xEwzgH0OF
Guus Meeuwis,72qVrKXRp9GeFQOesj0Pmv,Het Is Een Nacht... (Levensecht),1jnUXW29r0JgYRcQmC3gIp,surprise,00:03:45,58,https://open.spotify.com/track/1jnUXW29r0JgYRcQmC3gIp
Queen,1dfeR4HaWDbWqFHLkxsg1d,We Will Rock You - Remastered 2011,4pbJqGIASGPr0ZpGpnWkDn,surprise,00:02:02,79,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
Queen,1dfeR4HaWDbWqFHLkxsg1d,I Want To Break Free - Single Remix,3Au6174rC3JSzZN5BhCl3D,surprise,00:04:18,0,https://open.spotify.com/track/3Au6174rC3JSzZN5BhCl3D
2 Unlimited,18JD8DVlD1fakDAw7E9LFC,No Limit,7pSJmBTlbA4S5zSLsj6Pzz,surprise,00:03:43,0,https://open.spotify.com/track/7pSJmBTlbA4S5zSLsj6Pzz
Sean Kingston,6S0dmVVn4udvppDhZIWxCr,Beautiful Girls - Radio Edit,4Tf94tAHtlQxjbeeyU3y7C,surprise,00:03:45,53,https://open.spotify.com/track/4Tf94tAHtlQxjbeeyU3y7C
Ultimate Kaos,1xu0cZR2dde8ZY9mztZ6Eq,Casanova,7GduBMXIgyho4M13qObu2C,surprise,00:03:50,27,https://open.spotify.com/track/7GduBMXIgyho4M13qObu2C
Robbie Williams,2HcwFjNelS49kFbfvMxQYw,Angels,1M2nd8jNUkkwrc1dgBPTJz,surprise,00:04:25,73,https://open.spotify.com/track/1M2nd8jNUkkwrc1dgBPTJz
T-Spoon,6AGGV787LmMPGeyCgZqy6U,Sex On The Beach - Original Mix,4q7HqgwzTAK332xEbzuBVm,surprise,00:03:57,0,https://open.spotify.com/track/4q7HqgwzTAK332xEbzuBVm
TLC,0TImkz4nPqjegtVSMZnMRq,No Scrubs,1KGi9sZVMeszgZOWivFpxs,surprise,00:03:34,79,https://open.spotify.com/track/1KGi9sZVMeszgZOWivFpxs
Eternal,7zYGAXxAaq15C9eM29M8Fj,I Wanna Be the Only One (feat. Bebe Winans),5CNtRWCtAfWivjpjr8QdR2,surprise,00:03:36,46,https://open.spotify.com/track/5CNtRWCtAfWivjpjr8QdR2
Brandy,05oH07COxkXKIMt6mIPRee,The Boy Is Mine - Radio Edit,4CCdNOgv6hK3AzSL6CQUdp,surprise,00:04:00,0,https://open.spotify.com/track/4CCdNOgv6hK3AzSL6CQUdp
Reel 2 Real,4AXX8UN3xaPrxHSqrgE3Ta,I Like To Move It (feat. The Mad Stuntman) - Radio Mix,48XTrEbn0R7YbCB6BSSIUW,surprise,00:03:41,40,https://open.spotify.com/track/48XTrEbn0R7YbCB6BSSIUW
Carmen Twillie,6O3ZB5Cz5CNT3wQWouKcNJ,Circle of Life,0GrhBz0am9KFJ20MN9o6Lp,surprise,00:03:59,0,https://open.spotify.com/track/0GrhBz0am9KFJ20MN9o6Lp
Kenny B,2NX52zvQRp4AxVzhp2cMiP,Parijs,1X5mydJvmC8nFhP2kW4q50,surprise,00:03:13,0,https://open.spotify.com/track/1X5mydJvmC8nFhP2kW4q50
Danzel,0o2RZsw6cgJAO7e4N3x7dJ,Pump It Up - Radio Edit,4L4YgYtU6sGzQBdEXm6EM9,surprise,00:03:46,43,https://open.spotify.com/track/4L4YgYtU6sGzQBdEXm6EM9
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4y3OI86AEP6PQoDE6olYhO,surprise,00:03:01,5,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
The Intermezzo Orchestra,6bXsF5Q9FHCEEXbZ4zMBLY,The Exorcist (Main Theme),0CLM9K4XOnfz0l6cBRgEnm,fear,00:03:32,0,https://open.spotify.com/track/0CLM9K4XOnfz0l6cBRgEnm
John Carpenter,0hxQtmgWiPtEsDPeIuKxXq,Halloween Theme - Main Title,7swocJUCUWTCiRUAU9oerC,fear,00:02:55,49,https://open.spotify.com/track/7swocJUCUWTCiRUAU9oerC
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Thriller,1D9KEXIrlmPUkMTdYzqgX4,fear,00:05:57,58,https://open.spotify.com/track/1D9KEXIrlmPUkMTdYzqgX4
The Citizens of Halloween,164hs3x1Tsp3FgJWNHee1r,This Is Halloween,1Tyt3O3DEznoixjn2K0C3v,fear,00:03:16,0,https://open.spotify.com/track/1Tyt3O3DEznoixjn2K0C3v
Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,Sweet Dreams (Are Made Of This),0Xq7FPQaLJgIHSB605YUMy,fear,00:04:51,50,https://open.spotify.com/track/0Xq7FPQaLJgIHSB605YUMy
Charlie Clouser,1ZVa9Tz7T3lR30I6r7mhhf,Main Titles,2aAbjYIg2uHBm8sBFlGdBZ,fear,00:02:56,40,https://open.spotify.com/track/2aAbjYIg2uHBm8sBFlGdBZ
Carl Orff,4LXxsm5BF85PWnQ1dUDAze,Carmina Burana: I. O Fortuna,3cYeGfQKi8rrVGuVTI30vG,fear,00:02:42,22,https://open.spotify.com/track/3cYeGfQKi8rrVGuVTI30vG
The City of Prague Philharmonic Orchestra,2oQJQUIpJFFnfKvHJA0xBu,The Addams Family,4rzBn7FbXAel09UcinvyOA,fear,00:02:21,30,https://open.spotify.com/track/4rzBn7FbXAel09UcinvyOA
Neku,1cSLWtq8penAi11GiMxgHc,Five Nights at Freddy's Song (feat. Lucia) [Remix],0TH4cZ87hKG05FMIaZcBtB,fear,00:02:40,36,https://open.spotify.com/track/0TH4cZ87hKG05FMIaZcBtB
The Living Tombstone,0I6yADrmeyvw66g7yjkqIF,Five Nights at Freddy's,5ZbwPEUqw1hK6rp0ppD8lR,fear,00:02:45,64,https://open.spotify.com/track/5ZbwPEUqw1hK6rp0ppD8lR
